Action,Date,Ad Title/Id,Page/App
Impression,2025/03/20,359598514,nypost.com
Impression,2025/03/20,359598514,thekitchn.com
Impression,2025/03/20,377419276,nypost.com
Impression,2025/03/21,359575694,nypost.com
Impression,2025/03/21,359598514,nypost.com
Impression,2025/03/22,359575694,nypost.com
Impression,2025/03/22,359598514,nypost.com
Impression,2025/03/23,126166284,microsoftcasualgames.com
Impression,2025/03/23,359598514,nypost.com
Impression,2025/03/23,377419276,nypost.com
Impression,2025/03/24,359575694,msn.com
Impression,2025/03/24,359598514,merriam-webster.com
Impression,2025/03/24,359598514,msn.com
Impression,2025/03/24,359598514,nypost.com
Impression,2025/03/24,377419276,nypost.com
Impression,2025/03/24,630648994,nypost.com
Impression,2025/03/25,359598514,nypost.com
Impression,2025/03/25,359598514,redfin.com
Impression,2025/03/26,126165994,wordfinder.yourdictionary.com
Impression,2025/03/26,359575694,AP news
Impression,2025/03/26,359575694,wordfinder.yourdictionary.com
Impression,2025/03/26,359598514,accuweather.com
Impression,2025/03/26,359598514,nypost.com
Impression,2025/03/26,359598514,speedtest.net
Impression,2025/03/26,359598514,weather.com
Impression,2025/03/26,359598514,wordfinder.yourdictionary.com
Impression,2025/03/26,377419276,AP news
Impression,2025/03/26,377419276,azcentral.com
Impression,2025/03/26,377419276,speedtest.net
Impression,2025/03/26,420545424,speedtest.net
Impression,2025/03/26,485043214,speedtest.net
Impression,2025/03/26,623328614,speedtest.net
Impression,2025/03/26,93772494,thehill.com
Impression,2025/03/27,359575694,newsweek.com
Impression,2025/03/27,359575694,nypost.com
Impression,2025/03/27,359575694,thestreet.com
Impression,2025/03/27,359575694,usatoday.com
Impression,2025/03/27,359598514,msn.com
Impression,2025/03/27,359598514,newsweek.com
Impression,2025/03/27,359598514,nypost.com
Impression,2025/03/27,377419276,newsweek.com
Impression,2025/03/27,420555334,marketwatch.com
Impression,2025/03/28,563877503,microsoftcasualgames.com
Impression,2025/03/28,574406666,microsoftcasualgames.com
Impression,2025/03/28,603101574,microsoftcasualgames.com
Impression,2025/03/29,420517784,microsoftcasualgames.com
Impression,2025/03/29,484998814,speedtest.net
Impression,2025/03/30,103392653,yahoo.com
Impression,2025/03/31,420555334,ndtv.com
Impression,2025/03/31,511098484,nypost.com
Impression,2025/03/31,630763534,nypost.com
Impression,2025/03/31,657421626,microsoftcasualgames.com
Impression,2025/04/01,103389543,upworthy.com
Impression,2025/04/01,420573804,upworthy.com
Impression,2025/04/01,490325804,upworthy.com
Impression,2025/04/01,574406666,newsweek.com
Impression,2025/04/01,623336484,upworthy.com
Impression,2025/04/02,558956163,microsoftcasualgames.com
Impression,2025/04/02,635569274,microsoftcasualgames.com
Impression,2025/04/02,649718753,microsoftcasualgames.com
Impression,2025/04/02,653019523,microsoftcasualgames.com
Impression,2025/04/02,657421626,microsoftcasualgames.com
Impression,2025/04/05,657737976,thestreet.com
Impression,2025/04/06,601999964,Sudoku.com
Impression,2025/04/06,634433756,alexandracooks.com
Impression,2025/04/06,634433756,clutchpoints.com
Impression,2025/04/06,635569274,microsoftcasualgames.com
Impression,2025/04/06,649605793,alexandracooks.com
Impression,2025/04/06,654873856,weather.com
Impression,2025/04/06,655736883,microsoftcasualgames.com
Impression,2025/04/06,665020326,microsoftcasualgames.com
Impression,2025/04/07,665020326,microsoftcasualgames.com
Impression,2025/04/08,551157223,microsoftcasualgames.com
Impression,2025/04/08,649718753,finance.yahoo.com
Impression,2025/04/10,420534944,finance.yahoo.com
Impression,2025/04/11,558967623,microsoftcasualgames.com
Impression,2025/04/11,649605793,microsoftcasualgames.com
Impression,2025/04/11,649718753,microsoftcasualgames.com
Impression,2025/04/11,668864456,microsoftcasualgames.com
Impression,2025/04/13,374018554,yahoo.com
Impression,2025/04/13,374059904,yahoo.com
Impression,2025/04/13,640660664,yahoo.com
Click,2025/04/14,644995184,microsoftcasualgames.com
Impression,2025/04/14,358082674,microsoftcasualgames.com
Impression,2025/04/14,358082734,microsoftcasualgames.com
Impression,2025/04/14,420573804,microsoftcasualgames.com
Impression,2025/04/14,438494064,microsoftcasualgames.com
Impression,2025/04/14,490325804,microsoftcasualgames.com
Impression,2025/04/14,558956163,microsoftcasualgames.com
Impression,2025/04/14,565612624,microsoftcasualgames.com
Impression,2025/04/14,574406666,microsoftcasualgames.com
Impression,2025/04/14,589936304,microsoftcasualgames.com
Impression,2025/04/14,636022724,microsoftcasualgames.com
Impression,2025/04/14,644995184,microsoftcasualgames.com
Impression,2025/04/14,666359386,microsoftcasualgames.com
Impression,2025/04/14,668908996,microsoftcasualgames.com
Impression,2025/04/14,669044666,microsoftcasualgames.com
Impression,2025/04/14,669171676,microsoftcasualgames.com
Impression,2025/04/14,93772094,microsoftcasualgames.com
Impression,2025/04/14,94709354,microsoftcasualgames.com
Impression,2025/04/15,358140174,microsoftcasualgames.com
Impression,2025/04/15,617593676,microsoftcasualgames.com
Impression,2025/04/15,617624046,microsoftcasualgames.com
Impression,2025/04/15,641124274,microsoftcasualgames.com
Impression,2025/04/15,644182364,microsoftcasualgames.com
Impression,2025/04/15,649605793,finance.yahoo.com
Impression,2025/04/15,666431456,microsoftcasualgames.com
Impression,2025/04/15,668909126,microsoftcasualgames.com
Impression,2025/04/15,669145096,microsoftcasualgames.com
Impression,2025/04/16,641143194,microsoftcasualgames.com
Impression,2025/04/16,668724656,microsoftcasualgames.com
Impression,2025/04/18,485043214,microsoftcasualgames.com
Impression,2025/04/18,490334054,microsoftcasualgames.com
Impression,2025/04/18,574406666,microsoftcasualgames.com
Impression,2025/04/18,641171974,microsoftcasualgames.com
Impression,2025/04/18,644764524,microsoftcasualgames.com
Impression,2025/04/18,647539904,ebay.com
Impression,2025/04/18,675902046,microsoftcasualgames.com
Impression,2025/04/19,358082674,makeuseof.com
Impression,2025/04/19,358082734,makeuseof.com
Impression,2025/04/19,358130934,makeuseof.com
Impression,2025/04/19,574406666,microsoftcasualgames.com
Impression,2025/04/19,589800964,microsoftcasualgames.com
Impression,2025/04/19,641153394,microsoftcasualgames.com
Impression,2025/04/19,644764524,microsoftcasualgames.com
Impression,2025/04/19,647469214,makeuseof.com
Impression,2025/04/19,647469224,makeuseof.com
Impression,2025/04/19,647508044,makeuseof.com
Impression,2025/04/19,662111643,yahoo.com
Impression,2025/04/19,93772494,microsoftcasualgames.com
Impression,2025/04/19,94709274,microsoftcasualgames.com
Impression,2025/04/20,420555334,foodiecrush.com
Impression,2025/04/20,620213846,foodiecrush.com
Impression,2025/04/20,635340314,microsoftcasualgames.com
Impression,2025/04/20,641103924,microsoftcasualgames.com
Impression,2025/04/20,641173584,microsoftcasualgames.com
Impression,2025/04/20,644182464,microsoftcasualgames.com
Impression,2025/04/20,644764524,microsoftcasualgames.com
Impression,2025/04/20,647224504,yahoo.com
Impression,2025/04/20,647469224,microsoftcasualgames.com
Impression,2025/04/20,663978483,microsoftcasualgames.com
Impression,2025/04/20,669117436,msn.com
Impression,2025/04/20,94709274,foodiecrush.com
Click,2025/04/21,621452666,AP news
Impression,2025/04/21,358130934,microsoftcasualgames.com
Impression,2025/04/21,420573804,microsoftcasualgames.com
Impression,2025/04/21,594611253,AP news
Impression,2025/04/21,613705956,AP news
Impression,2025/04/21,621452666,AP news
Impression,2025/04/21,641103014,microsoftcasualgames.com
Impression,2025/04/21,641153394,microsoftcasualgames.com
Impression,2025/04/21,647508044,variety.com
Impression,2025/04/21,647539904,microsoftcasualgames.com
Impression,2025/04/21,647539904,variety.com
Impression,2025/04/21,661641103,AP news
Impression,2025/04/21,662278183,AP news
Impression,2025/04/21,666227246,AP news
Impression,2025/04/21,668741926,microsoftcasualgames.com
Impression,2025/04/22,540082586,AP news
Impression,2025/04/22,636171244,bulbapedia.bulbagarden.net
Impression,2025/04/22,643435176,AP news
Impression,2025/04/22,647508044,ebay.co.uk
Impression,2025/04/22,654334596,bulbapedia.bulbagarden.net
Impression,2025/04/22,654361946,bulbapedia.bulbagarden.net
Impression,2025/04/22,655249413,bulbapedia.bulbagarden.net
Impression,2025/04/22,655288973,mail.yahoo.com
Impression,2025/04/22,663185873,bulbapedia.bulbagarden.net
Impression,2025/04/22,668936576,AP news
Impression,2025/04/22,670694506,bulbapedia.bulbagarden.net
Impression,2025/04/22,678516616,bulbapedia.bulbagarden.net
Impression,2025/04/23,483049916,microsoftcasualgames.com
Impression,2025/04/23,540082586,microsoftcasualgames.com
Impression,2025/04/23,640962204,AP news
Impression,2025/04/23,641133484,microsoftcasualgames.com
Impression,2025/04/23,641153394,microsoftcasualgames.com
Impression,2025/04/23,643396706,microsoftcasualgames.com
Impression,2025/04/24,358140174,thestreet.com
Impression,2025/04/24,439704016,microsoftcasualgames.com
Impression,2025/04/24,574406666,microsoftcasualgames.com
Impression,2025/04/24,641133484,microsoftcasualgames.com
Impression,2025/04/24,641153394,microsoftcasualgames.com
Impression,2025/04/24,666398186,microsoftcasualgames.com
Impression,2025/04/24,673841916,microsoftcasualgames.com
Impression,2025/04/25,358082734,people.com
Impression,2025/04/25,483049916,microsoftcasualgames.com
Impression,2025/04/25,598554964,AP news
Impression,2025/04/25,647469224,ebay.com
Impression,2025/04/25,649718753,microsoftcasualgames.com
Impression,2025/04/25,651371056,AP news
Impression,2025/04/25,664112193,AP news
Impression,2025/04/25,666215586,AP news
Impression,2025/04/25,670328756,microsoftcasualgames.com
Impression,2025/04/25,671578283,microsoftcasualgames.com
Impression,2025/04/25,681777866,microsoftcasualgames.com
Impression,2025/04/26,598533104,AP news
Impression,2025/04/26,641154174,microsoftcasualgames.com
Impression,2025/04/26,644764524,microsoftcasualgames.com
Impression,2025/04/26,648125984,AP news
Impression,2025/04/26,653382174,AP news
Impression,2025/04/26,661538423,microsoftcasualgames.com
Impression,2025/04/26,664112193,AP news
Impression,2025/04/26,681779396,microsoftcasualgames.com
Impression,2025/04/26,681911946,microsoftcasualgames.com
Impression,2025/04/27,641103014,microsoftcasualgames.com
Impression,2025/04/27,648125984,AP news
Impression,2025/04/27,654150194,AP news
Impression,2025/04/28,256497966,microsoftcasualgames.com
Impression,2025/04/28,420555334,microsoftcasualgames.com
