Login Date,IP Address,User Agent,Login Type
Mon Dec 02 19:25:05 UTC 2024,2607:fb91:1e62:2d2:880a:8162:75d8:a8ee,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131 Version/11.1.1 Safari/605.1.15",Login
Wed Dec 04 18:50:07 UTC 2024,2607:fb91:1e62:2d2:7ca8:1ac8:4f56:5b47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131 Version/11.1.1 Safari/605.1.15",Login
Thu Dec 05 21:09:36 UTC 2024,2a09:bac3:c9d9:1caa:0:0:2db:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Fri Dec 06 20:50:24 UTC 2024,2a02:26f7:c35d:81d0:0:1000:0:a,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",Login
Fri Dec 06 22:08:51 UTC 2024,2a09:bac2:776c:1caa:0:0:2db:cb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Fri Dec 06 22:35:11 UTC 2024,2a09:bac2:c9db:154b:0:0:21f:b1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Wed Dec 11 02:37:31 UTC 2024,2a09:bac2:c9d8:1caa:0:0:2db:9b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Thu Dec 12 16:54:08 UTC 2024,2a09:bac3:6699:119:0:0:1c:272,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Thu Dec 12 17:14:56 UTC 2024,2601:603:f7f:ad8a:0:0:0:6f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Login
Thu Dec 12 17:15:14 UTC 2024,2601:603:f7f:ad8a:0:0:0:6f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Login
Thu Dec 12 17:16:16 UTC 2024,2a09:bac3:6699:119:0:0:1c:272,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
